postal code,place,province_or_county,community,latitude,longitude,all_cancer_sites,tongue,mouth,breast,lungs,stomach,bladder,sex
600019,Shanmugapuram,Tiruvallur,Ambattur,13.1582,80.3018,731,131,186,12,188,184,30,M
600019,Tiruvottiyur,Tiruvallur,Ambattur,13.1582,80.3018,731,131,186,12,188,184,30,M
600019,Kaladipet,Tiruvallur,Ambattur,13.1582,80.3018,731,131,186,12,188,184,30,M
600019,Tiruvottiyur West,Tiruvallur,Tiruvottiyur,13.1582,80.3018,731,131,186,12,188,184,30,M
600019,Tondiarpet Rly Colony,Tiruvallur,Ambattur,13.1582,80.3018,731,131,186,12,188,184,30,M
600019,Tiruvottiyur West,Tiruvallur,Ambattur,13.1582,80.3018,731,131,186,12,188,184,30,M
600037,Mogappair West,Tiruvallur,Ambattur,13.0659,80.2365,731,131,186,12,188,184,30,M
600037,Mogappair,Tiruvallur,Ambattur,13.0659,80.2365,731,131,186,12,188,184,30,M
600049,Villivakkam,Tiruvallur,Ambattur,13.1228,80.1703,731,131,186,12,188,184,30,M
600049,Tirumangalam Road,Tiruvallur,Ambattur,13.1228,80.1703,731,131,186,12,188,184,30,M
600050,Korattur,Tiruvallur,Ambattur,13.1063,80.1734,731,131,186,12,188,184,30,M
600050,Padi,Tiruvallur,Ambattur,13.2431,79.94,731,131,186,12,188,184,30,M
600050,Jagadambigainagar,Tiruvallur,Ambattur,12.9659,79.7332,731,131,186,12,188,184,30,M
600051,Madhavaram Milk Colony,Tiruvallur,Ponneri,13.1501,80.242,731,131,186,12,188,184,30,M
600052,Vilangadupakkam,Tiruvallur,Ponneri,13.1961,80.2156,731,131,186,12,188,184,30,M
600052,Edapalayam,Tiruvallur,Ponneri,12.9674,79.4441,731,131,186,12,188,184,30,M
600052,Vadakarai,Tiruvallur,Ponneri,13.2431,79.94,731,131,186,12,188,184,30,M
600052,Alamathi,Tiruvallur,Ponneri,12.9674,79.4441,731,131,186,12,188,184,30,M
600052,Boochiathipattu,Tiruvallur,Ponneri,12.9674,79.4441,731,131,186,12,188,184,30,M
600052,Redhills,Tiruvallur,Ponneri,12.9674,79.4441,731,131,186,12,188,184,30,M
600052,Pammadukulam,Tiruvallur,Ponneri,12.9674,79.4441,974,41,85,647,78,107,16,F
600052,Padianallur,Tiruvallur,Ambattur,12.9674,79.4441,974,41,85,647,78,107,16,F
600052,Guruvoyal,Tiruvallur,Ponneri,12.9674,79.4441,974,41,85,647,78,107,16,F
600053,Oragadam,Tiruvallur,Ambattur,13.2431,79.94,974,41,85,647,78,107,16,F
600053,Vijayalakshmipuram,Tiruvallur,Ambattur,12.9571,79.9937,974,41,85,647,78,107,16,F
600053,Menambedu,Tiruvallur,Ambattur,13.2431,79.94,974,41,85,647,78,107,16,F
600053,Thiruvengadnagar,Tiruvallur,Ambattur,12.9571,79.9937,974,41,85,647,78,107,16,F
600053,Prithivipakkam,Tiruvallur,Ambattur,12.9571,79.9937,974,41,85,647,78,107,16,F
600053,Ambattur H.O,Tiruvallur,Ambattur,12.9571,79.9937,974,41,85,647,78,107,16,F
600054,Avadi,Tiruvallur,Ambattur,13.2431,79.94,974,41,85,647,78,107,16,F
600054,Avadi Camp H.O,Tiruvallur,Ambattur,13.1147,80.1098,974,41,85,647,78,107,16,F
600054,Cvrde,Tiruvallur,Ambattur,13.1147,80.1098,974,41,85,647,78,107,16,F
600054,Tank Factory Avadi,Tiruvallur,Ambattur,13.1147,80.1098,974,41,85,647,78,107,16,F
600054,Gandhinagar,Tiruvallur,Ambattur,13.1147,80.1098,974,41,85,647,78,107,16,F
600055,Palavedu,Tiruvallur,Poonamallee,13.1547,80.0694,974,41,85,647,78,107,16,F
600055,Pandeeswaram,Tiruvallur,Poonamallee,13.1547,80.0694,974,41,85,647,78,107,16,F
600055,Avadi IAF,Tiruvallur,Ambattur,13.1547,80.0694,974,41,85,647,78,107,16,F
600055,Koduvalli,Tiruvallur,Poonamallee,13.1547,80.0694,974,41,85,647,78,107,16,F
600055,Mittanamalli,Tiruvallur,Poonamallee,13.1547,80.0694,974,41,85,647,78,107,16,F
600055,Morai,Tiruvallur,Poonamallee,13.1547,80.0694,974,41,85,647,78,107,16,F
600055,CRP Camp,Tiruvallur,Ambattur,13.1547,80.0694,974,41,85,647,78,107,16,F
600056,Poonamallee,Tiruvallur,Poonamalee,13.2431,79.94,974,41,85,647,78,107,16,F
600056,Poonamallee East,Tiruvallur,Poonamallee,13.0384,79.8277,974,41,85,647,78,107,16,F
