zip_code,centile,superzip,place,province_or_county,community,latitude,longitude,all_cancer_sites,tongue,mouth,breast,lungs,stomach,bladder,sex
600019,99.99999,1,Shanmugapuram,Tiruvallur,Ambattur,13.1582,80.3018,731,131,186,12,188,184,30,M
600037,99.99359,1,Mogappair West,Tiruvallur,Ambattur,13.0659,80.2365,731,131,186,12,188,184,30,M
600049,99.98998,1,Villivakkam,Tiruvallur,Ambattur,13.1228,80.1703,731,131,186,12,188,184,30,M
600050,99.98444,1,Korattur,Tiruvallur,Ambattur,13.1063,80.1734,731,131,186,12,188,184,30,M
600051,99.98334,1,Madhavaram Milk Colony,Tiruvallur,Ponneri,13.1501,80.242,731,131,186,12,188,184,30,M
600052,99.98116,1,Vilangadupakkam,Tiruvallur,Ponneri,13.1961,80.2156,731,131,186,12,188,184,30,M
600053,99.95969,1,Oragadam,Tiruvallur,Ambattur,13.2431,79.94,974,41,85,647,78,107,16,F
600054,99.93846,1,Avadi,Tiruvallur,Ambattur,13.2431,79.94,974,41,85,647,78,107,16,F
600055,99.92861,1,Palavedu,Tiruvallur,Poonamallee,13.1547,80.0694,974,41,85,647,78,107,16,F
600056,99.89934,1,Poonamallee,Tiruvallur,Poonamalee,13.2431,79.94,974,41,85,647,78,107,16,F
600057,99.89091,1,Ennore RS,Tiruvallur,Ambattur,13.0252,79.8562,974,41,85,647,78,107,16,F
600058,99.86842,1,Ambattur Indl Estate,Tiruvallur,Ambattur,13.0252,79.8562,731,131,186,12,188,184,30,M
600060,99.85355,1,Moolakadai,Tiruvallur,Gummidipoondi,13.1269,80.2467,731,131,186,12,188,184,30,M
600062,99.82313,1,Vellanur,Tiruvallur,Poonamallee,13.158,80.1063,731,131,186,12,188,184,30,M
600066,99.75265,1,Kadirvedu,Tiruvallur,Ambattur,13.0063,79.8869,731,131,186,12,188,184,30,M
600067,99.7291,1,Nayar,Tiruvallur,Ponneri,13.2626,80.2194,731,131,186,12,188,184,30,M
600068,99.687,1,Manali (Tiruvallur),Tiruvallur,Ambattur,13.0063,79.8869,731,131,186,12,188,184,30,M
600071,99.68106,1,Paruthipattu,Tiruvallur,Poonamallee,12.9591,80.1436,731,131,186,12,188,184,30,M
600072,99.67003,1,Kolappancheri,Tiruvallur,Poonamallee,12.9591,80.1436,731,131,186,12,188,184,30,M
600076,99.63454,1,Korattur RS,Tiruvallur,Ambattur,12.9591,80.1436,731,131,186,12,188,184,30,M
600077,99.63304,1,Numbal,Tiruvallur,Poonamallee,12.9591,80.1436,731,131,186,12,188,184,30,M
600087,99.60468,1,Valasaravakkam,Tiruvallur,Poonamalee,13.0439,80.1725,731,131,186,12,188,184,30,M
600095,99.59599,1,Maduravoyal,Tiruvallur,Poonamalee,13.0675,80.1632,731,131,186,12,188,184,30,M
600099,99.5876,1,Kolathur,Tiruvallur,Ambattur,13.2431,79.94,731,131,186,12,188,184,30,M
600103,99.58385,1,Andarkuppam,Tiruvallur,Ambattur,13.3062,80.1565,731,131,186,12,188,184,30,M
600107,99.54424,1,Nerkundram,Tiruvallur,Chennai Corporation,13.0722,80.2014,731,131,186,12,188,184,30,M
600110,99.52798,1,Ponniammanmedu,Tiruvallur,Ambattur,13.13,80.2311,731,131,186,12,188,184,30,M
