zip_code,place,county,community,latitude,longitude
600019,Tiruvottiyur West,Tiruvallur,Ambattur,13.1582,80.3018
600037,Mogappair,Tiruvallur,Ambattur,13.0659,80.2365
600049,Villivakkam,Tiruvallur,Ambattur,13.1228,80.1703
600050,Korattur,Tiruvallur,Ambattur,13.1063,80.1734
600051,Madhavaram Milk Colony,Tiruvallur,Ponneri,13.1501,80.242
600052,Guruvoyal,Tiruvallur,Ponneri,12.9674,79.4441
600053,Ambattur H.O,Tiruvallur,Ambattur,12.9571,79.9937
600054,Avadi,Tiruvallur,Ambattur,13.2431,79.94
600055,Palavedu,Tiruvallur,Poonamallee,13.1547,80.0694
600056,Poonamallee,Tiruvallur,Poonamalee,13.2431,79.94
600057,Ennore RS,Tiruvallur,Ambattur,13.0252,79.8562
600058,Ambattur Indl Estate,Tiruvallur,Ambattur,13.0252,79.8562
600060,Vadaperumbakkam,Tiruvallur,Ambattur,13.1269,80.2467
600062,Vellanur,Tiruvallur,Poonamallee,13.158,80.1063
600066,Kadirvedu,Tiruvallur,Ambattur,13.0063,79.8869
600067,Orakadu,Tiruvallur,Ponneri,12.9517,79.6216
600068,Manali (Tiruvallur),Tiruvallur,Ambattur,13.0063,79.8869
600071,Kamarajnagar,Tiruvallur,Poonamallee,12.9591,80.1436
600072,Kolappancheri,Tiruvallur,Poonamallee,12.9591,80.1436
600076,Korattur RS,Tiruvallur,Ambattur,12.9591,80.1436
600077,Numbal,Tiruvallur,Poonamallee,12.9591,80.1436
600087,Alwarthirunagar,Tiruvallur,Poonamalee,13.0439,80.1725
600095,Maduravoyal,Tiruvallur,Poonamalee,13.0675,80.1632
600099,Kolathur,Tiruvallur,Ambattur,13.2431,79.94
600103,Andarkuppam,Tiruvallur,Ambattur,13.3062,80.1565
600107,Nerkundram,Tiruvallur,Chennai Corporation,13.0722,80.2014
600110,Ponniammanmedu,Tiruvallur,Ambattur,13.13,80.2311
600120,Vallur,Tiruvallur,Ambattur,13.256,80.2818
600123,Nazarethpettai,Tiruvallur,Poonamallee,13.2431,79.94
600124,Kuttambakkam,Tiruvallur,Poonamallee,13.2431,79.94
600128,Kovur,Tiruvallur,Poonamallee,13.2431,79.94
601101,Pondavakkam,Tiruvallur,Ponneri,13.3448,80.0996
601102,Majankaranai,Tiruvallur,Uttukottai,13.1879,79.7968
601103,Velliyur,Tiruvallur,Tiruvallur,13.2431,79.94
601201,Tervali,Tiruvallur,Gummidipundii,13.4274,80.1388
601202,Thanipoondi,Tiruvallur,Gummidipundi,13.454,80.0047
601203,Nallur,Tiruvallur,Ponneri,13.2431,79.94
601204,Perumbedu,Tiruvallur,Ponneri,13.3583,80.2423
601205,Kolur,Tiruvallur,Ponneri,13.4304,80.2252
601206,Chinnambedu,Tiruvallur,Ponneri,13.3198,80.1205
602001,Tiruvallur Nethaji Road,Tiruvallur,Thiruvallur,13.0553,79.906
602002,Melnallathur,Tiruvallur,Tiruvallur,13.0553,79.906
602003,Kakalur Ind Estate,Tiruvallur,Tiruvallur,13.0553,79.906
602021,Monnavedu,Tiruvallur,Tiruvallur,13.2144,79.9414
602023,Allikuzhi,Tiruvallur,Tiruvallur,12.8985,79.8127
602024,Kottamedu,Tiruvallur,Tiruvallur,13.2431,79.94
602025,Aranvoyal,Tiruvallur,Tiruvallur,13.0944,79.9529
602026,Perandur,Tiruvallur,Uttukottai,13.3172,79.9428
602105,Thodukadu,Tiruvallur,Thiruvallur,12.9191,79.8125
631201,Arungolam,Tiruvallur,Tirutani,12.9783,79.6172
631202,Athimanjeripeta,Tiruvallur,Tirutani,13.2535,79.445
631203,Pandur,Tiruvallur,Tiruvallur,13.1556,79.8488
631204,Kanakammachatram,Tiruvallur,Tirutani,13.0866,79.511
631205,Mambakkam,Tiruvallur,Tiruttani,13.1433,79.5516
631206,Madduru,Tiruvallur,Tirutani,13.2279,79.5156
631207,Pallipat,Tiruvallur,Pallipattu,13.3386,79.4449
631208,Pettaikandigai,Tiruvallur,Pallipat,13.2769,79.4951
631209,Pattabiramapuram,Tiruvallur,Tiruttani,13.1834,79.6329
631210,Peddakalakattur,Tiruvallur,Tiruttani,13.0825,79.7388
631211,Karthikeyapuram,Tiruvallur,Tirutani,13.0989,79.7233
631212,Nallathur,Tiruvallur,Tirutani,13.0989,79.7233
631213,Ponpadi,Tiruvallur,Tirutani,13.2303,79.5986
631301,Thyagapuram,Tiruvallur,Pallipattu,13.1456,79.3701
631302,Rangapuram,Tiruvallur,Pallipat,13.1448,79.3977
631303,Veeranathur,Tiruvallur,Tirutani,13.1426,79.4577
631304,Vanganur,Tiruvallur,Tirutani,13.1829,79.4553
631402,Kondancheri,Tiruvallur,Sriperumbudur,13.0493,79.8474
600001,Chennai G.P.O.,Chennai,Chennai,13.0914,80.2828
600002,Madras Electricity System,Chennai,Chennai,13.0744,80.2714
600003,Park Town H.O,Chennai,Tondiarpet Fort St George,13.0754,80.2737
600004,Mandaveli,Chennai,Chennai,13.0754,80.2737
600005,Chepauk,Chennai,Chennai,13.0594,80.2789
600006,Teynampet West,Chennai,Chennai,13.0754,80.2737
600007,Vepery,Chennai,Perambur Purasawalkam,13.0847,80.2675
600008,Egmore,Chennai,Perambur Purasawalkam,13.0717,80.2556
600009,Fort St George,Chennai,Tondiarpet Fort St George,13.0754,80.2737
600010,Kilpauk,Chennai,Perambur Purasawalkam,13.08,80.2408
600011,Perambur North,Chennai,Perambur Purasawalkam,13.1103,80.2425
600012,Venkatesapuram,Chennai,Perambur Purasawalkam,13.0647,80.2523
600013,Rayapuram,Chennai,Egmore Nungambakkam,13.1141,80.2947
600014,Royapettah,Chennai,Chennai,13.0506,80.2642
600015,Guindy North,Chennai,Chennai City Corporation,13.1096,80.2146
600017,Thygarayanagar H.O,Chennai,Chennai,13.1096,80.2146
600018,Teynampet,Chennai,Chennai,13.0433,80.2528
600020,Shastri Nagar (Chennai),Chennai,Chennai City Corporation,12.9967,80.2603
600021,Washermanpet East,Chennai,Tondiarpet Fort St George,13.121,80.285
600022,Rajbhavan (Chennai),Chennai,Chennai City Corporation,13.0484,80.2473
600023,Aynavaram,Chennai,Perambur Purasawalkam,13.0484,80.2473
600024,Kodambakkam,Chennai,Chennai City Corporation,13.0481,80.2214
600025,Engineering College (Chennai),Chennai,Chennai City Corporation,13.0484,80.2473
600026,Vadapalani,Chennai,Chennai City Corporation,13.0511,80.2125
600028,Raja Annamalaipuram,Chennai,Chennai City Corporation,13.025,80.2575
600030,Aminjikarai,Chennai,Egmore Nungambakkam,13.0739,80.2244
600031,Chetput,Chennai,Egmore Nungambakkam,13.07,80.2408
600032,Ekkaduthangal,Chennai,Chennai City Corporation,13.0659,80.2365
600033,West Mambalam,Chennai,Chennai City Corporation,13.0389,80.2258
600034,Nungambakkam,Chennai,Chennai,13.0606,80.2344
600035,Nandanam,Chennai,Chennai City Corporation,13.0269,80.2406
600036,Indian Institute Of Technology,Chennai,Chennai City Corporation,13.0659,80.2365
600038,Icf Colony,Chennai,Perambur Purasawalkam,13.0659,80.2365
600039,Vyasar Nagar Colony,Chennai,Tondiarpet Fort St George,13.1111,80.2647
600040,Anna Nagar (Chennai),Chennai,Egmore Nungambakkam,12.8819,80.0885
600041,Valmiki Nagar,Chennai,Mylapore - Triplicane,12.9695,80.2588
600042,Velacheri,Chennai,Chennai City Corporation,13.0647,80.2523
600078,Kalaignar Karunanidhi Nagar,Chennai,Chennai City Corporation,12.9591,80.1436
600081,Tondiarpet,Chennai,Tondiarpet Fort St George,13.1274,80.2886
600082,Periyar Nagar,Chennai,Perambur,13.0572,80.2297
600083,Jafferkhanpet,Chennai,Chennai City Corporation,13.0582,80.24
600084,Flowers Road,Chennai,Perambur Purasawalkam,13.0582,80.24
600085,Kotturpuram,Chennai,Chennai City Corporation,13.0156,80.2467
600086,Gopalapuram (Chennai),Chennai,Chennai,13.0472,80.2578
600090,Rajaji Bhavan,Chennai,Chennai City Corporation,12.8503,80.0707
600092,Virugambakkam,Chennai,Chennai City Corporation,13.0647,80.2523
600093,Saligramam,Chennai,Chennai City Corporation,13.0647,80.2523
600094,Choolaimedu,Chennai,Chennai,12.8503,80.0707
600101,Anna Nagar Western Extn,Chennai,Ambattur,13.0974,80.195
600102,Anna Nagar East,Chennai,Perambur Purasawalkam,13.0974,80.195
600104,High Court Building (Chennai),Chennai,Tondiarpet Fort St George,13.0974,80.195
600106,D G Vaishnav College,Chennai,Egmore Nungambakkam,13.0734,80.2069
600113,Tidel Park,Chennai,Mambalam,12.9293,80.034
600118,Erukkancheri,Chennai,Chennai,13.0647,80.2523
600016,Meenambakkam,Kanchipuram,Sriperumbudur,12.9846,80.1747
600043,Pallavaram,Kanchipuram,Saidapet,12.968,80.1502
600044,Chromepet,Kanchipuram,Saidapet,12.9477,80.1354
600045,Tambaram H.O,Kanchipuram,Tambaram,12.8819,80.0885
600046,Tambaram IAF,Kanchipuram,Tambaram,12.8819,80.0885
600047,Tambaram Sanatorium,Kanchipuram,Tambaram,12.8819,80.0885
600048,Mannivakkam,Kanchipuram,Chinglepet,12.8884,80.0641
600059,LIC Colony Tambaram,Kanchipuram,Tambaram,13.0252,79.8562
600061,Nanganallur,Kanchipuram,Saidapet,12.9805,80.1881
